Attributes	Close	Close	Volume	Volume
Symbols	BMO.TO	TRI.TO	BMO.TO	TRI.TO
Date				
2019-03-12	101.95	73.45	1854600.00	479500.00
2019-03-13	102.07	74.07	3530300.00	435300.00
2019-03-14	102.67	74.32	913400.00	403400.00
2019-03-15	103.70	75.25	5267600.00	1786400.00
2019-03-18	104.11	75.27	994300.00	370000.00
2019-03-19	103.54	75.46	910700.00	409900.00
2019-03-20	102.74	75.35	1293600.00	426100.00
2019-03-21	102.25	76.76	1316800.00	375700.00
2019-03-22	100.74	77.69	2634700.00	732900.00
2019-03-25	100.97	77.25	1880500.00	505000.00
2019-03-26	101.12	77.16	2453400.00	505500.00
2019-03-27	100.91	77.87	1949100.00	393300.00
2019-03-28	100.52	79.23	1274300.00	554700.00
2019-03-29	99.99	79.07	1444400.00	597100.00
2019-04-01	101.48	78.93	1321000.00	247300.00
2019-04-02	102.14	78.62	1003300.00	392800.00
2019-04-03	102.19	79.38	1812900.00	483500.00
2019-04-04	102.31	78.27	1008400.00	528900.00
2019-04-05	102.34	78.53	874500.00	358000.00
2019-04-08	102.25	78.37	979600.00	264200.00
2019-04-09	101.97	78.17	979900.00	367300.00
2019-04-10	102.06	78.64	778700.00	270300.00
2019-04-11	102.54	78.89	1139800.00	294000.00
2019-04-12	103.23	79.56	1195300.00	284800.00
2019-04-15	103.53	80.08	882800.00	336800.00
2019-04-16	103.87	79.84	2048100.00	390600.00
2019-04-17	105.19	79.80	1402200.00	408900.00
2019-04-18	105.50	80.20	1194800.00	544900.00
2019-04-22	105.44	80.16	642400.00	457400.00
2019-04-23	105.63	80.37	1591400.00	611600.00
2019-04-24	105.37	80.54	1255300.00	651200.00
2019-04-25	105.34	82.00	1841600.00	473300.00
2019-04-26	105.69	82.02	3228300.00	294000.00
2019-04-29	106.41	82.20	2091800.00	548200.00
2019-04-30	105.82	82.79	1790000.00	388400.00
2019-05-01	105.83	82.92	1102700.00	537500.00
2019-05-02	105.73	83.01	2463300.00	237700.00
2019-05-03	106.11	82.63	1497900.00	343000.00
2019-05-06	106.36	82.99	1833100.00	334200.00
2019-05-07	105.55	82.20	1480100.00	494800.00
2019-05-08	105.47	84.65	988500.00	1369200.00
2019-05-09	104.55	85.17	1640200.00	1380800.00
2019-05-10	104.16	85.90	2116200.00	606800.00
2019-05-13	102.86	85.52	1491500.00	450800.00
2019-05-14	103.31	86.50	950100.00	562700.00
2019-05-15	103.58	87.06	806000.00	404400.00
2019-05-16	104.01	87.79	900900.00	502200.00
2019-05-17	103.42	87.42	1497000.00	564000.00
2019-05-21	104.63	87.48	1701600.00	779500.00
2019-05-22	104.07	87.38	1622900.00	808500.00
2019-05-23	101.86	87.03	2534200.00	461600.00
2019-05-24	103.60	87.16	1747900.00	514600.00
2019-05-27	103.52	87.24	607500.00	111900.00
2019-05-28	103.04	87.98	1530600.00	1006100.00
2019-05-29	100.35	85.77	2558700.00	991800.00
2019-05-30	99.28	85.97	1362100.00	369600.00
2019-05-31	98.12	85.90	2090500.00	440300.00
2019-06-03	98.38	85.73	1507700.00	434800.00
2019-06-04	99.83	85.00	1324200.00	487000.00
2019-06-05	99.76	87.59	1314900.00	744800.00
2019-06-06	99.38	87.96	986900.00	408500.00
2019-06-07	98.97	88.81	1201200.00	534900.00
2019-06-10	99.33	87.11	728400.00	889400.00
2019-06-11	99.60	86.91	1088800.00	516400.00
2019-06-12	99.04	87.95	920500.00	615300.00
2019-06-13	99.15	86.49	829500.00	538100.00
2019-06-14	99.67	87.30	1045100.00	379100.00
2019-06-17	99.56	87.13	807800.00	377200.00
2019-06-18	100.51	87.58	1118200.00	422300.00
2019-06-19	100.25	88.60	941400.00	412000.00
2019-06-20	100.43	87.80	920200.00	530600.00
2019-06-21	99.94	87.09	3546900.00	1445600.00
2019-06-24	99.78	86.77	966700.00	352700.00
2019-06-25	98.91	85.19	1238600.00	539300.00
2019-06-26	98.52	83.64	1109000.00	671900.00
2019-06-27	98.43	84.15	876500.00	418700.00
2019-06-28	98.92	84.48	1347100.00	681000.00
2019-07-02	99.92	85.92	1481800.00	588400.00
2019-07-03	100.30	86.40	851600.00	373700.00
2019-07-04	100.35	86.58	400200.00	108600.00
2019-07-05	100.88	86.46	1521100.00	312600.00
2019-07-08	100.44	86.60	1410200.00	378400.00
2019-07-09	100.95	87.04	984000.00	377000.00
2019-07-10	100.23	87.05	1965300.00	406300.00
2019-07-11	100.37	87.27	1319100.00	611800.00
2019-07-12	100.01	87.80	1157500.00	435600.00
2019-07-15	99.46	88.64	1054700.00	363200.00
2019-07-16	99.43	88.38	765200.00	262700.00
2019-07-17	98.92	88.34	1192600.00	370700.00
2019-07-18	99.10	89.05	1271400.00	429300.00
2019-07-19	98.71	88.37	1000700.00	300100.00
2019-07-22	98.69	89.30	1086700.00	377700.00
2019-07-23	99.16	89.83	1229400.00	248800.00
2019-07-24	99.79	88.86	1313500.00	573300.00
2019-07-25	99.83	88.88	2934600.00	401200.00
2019-07-26	99.98	92.74	1420400.00	855200.00
2019-07-29	100.24	89.89	3628200.00	822200.00
2019-07-30	99.59	90.04	1929400.00	555800.00
2019-07-31	98.80	88.64	1690100.00	730800.00
2019-08-01	97.45	90.19	1399100.00	1114900.00
2019-08-02	96.70	88.35	1819500.00	705400.00
2019-08-06	95.06	88.05	3856800.00	856200.00
2019-08-07	95.21	89.64	1409500.00	735800.00
2019-08-08	95.67	89.28	1008600.00	406900.00
2019-08-09	95.44	89.62	1944100.00	369300.00
2019-08-12	94.22	88.51	890600.00	364000.00
2019-08-13	94.77	88.96	1089000.00	787100.00
2019-08-14	92.70	87.25	1747700.00	468100.00
2019-08-15	92.35	87.55	1676100.00	318100.00
2019-08-16	93.19	89.46	1463800.00	301800.00
2019-08-19	94.01	90.00	1828800.00	374300.00
2019-08-20	92.62	89.81	1187100.00	397800.00
2019-08-21	93.16	89.77	1061100.00	419000.00
2019-08-22	93.06	89.57	1435400.00	439000.00
2019-08-23	92.00	87.34	1241600.00	615600.00
