Attributes,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05,85.61,66.61,62.55,16.10,97.25,70.09,66.05,18.03,97.25,70.18,66.15,18.09,96.61,69.11,64.54,17.64,96.73,69.20,64.61,17.76,1021500.00,427700.00,471800.00,418200.00
2019-02-06,85.56,66.37,63.05,16.34,97.20,69.83,66.57,18.30,97.89,70.47,66.68,18.38,97.00,69.63,65.72,17.82,97.00,70.19,66.16,17.95,1251000.00,302700.00,394600.00,348900.00
2019-02-07,85.51,66.90,63.02,16.52,97.14,70.39,66.54,18.50,97.49,70.56,66.83,18.51,96.50,69.47,65.95,18.11,97.30,69.60,66.55,18.28,2024900.00,694500.00,382200.00,553900.00
2019-02-08,85.34,67.14,63.10,15.74,96.95,70.64,66.63,17.62,97.15,70.81,66.85,18.11,96.15,70.02,66.10,17.23,96.95,70.32,66.55,18.11,1021100.00,537700.00,248300.00,1146300.00
2019-02-11,85.37,66.50,62.85,16.18,96.98,69.97,66.36,18.12,97.37,71.10,67.01,18.78,96.73,69.88,66.32,17.62,97.20,70.60,66.98,17.62,1078500.00,334000.00,398600.00,587900.00
2019-02-12,86.11,66.39,63.42,16.80,97.82,69.86,66.96,18.81,98.07,70.07,67.33,18.99,97.15,69.34,66.27,18.10,97.17,69.92,66.36,18.23,3162300.00,414800.00,456700.00,683200.00
2019-02-13,86.15,66.13,63.00,17.15,97.87,69.58,66.52,19.20,98.45,70.12,67.14,19.35,97.64,69.58,66.49,18.83,98.22,69.99,66.95,18.93,1106800.00,299000.00,296700.00,487500.00
2019-02-14,85.70,66.53,63.31,16.72,97.35,70.00,66.85,18.72,97.89,70.50,67.34,19.13,97.26,69.36,66.01,18.70,97.70,69.65,66.52,19.09,1859700.00,375900.00,614900.00,483100.00
2019-02-15,86.38,66.65,63.19,17.26,98.13,70.13,66.72,19.33,98.55,70.25,67.17,19.44,97.57,69.67,66.50,18.79,97.57,70.19,66.76,18.79,1567000.00,459000.00,472100.00,471800.00
2019-02-19,86.41,66.39,63.16,17.13,98.16,69.86,66.69,19.18,98.44,70.41,66.88,19.37,97.90,69.80,66.18,18.97,98.17,70.01,66.88,19.37,2015800.00,396400.00,349800.00,592300.00
2019-02-20,87.19,65.92,63.02,16.80,99.05,69.36,66.54,18.81,99.36,70.05,67.18,19.21,98.15,68.99,66.49,18.77,98.15,69.95,66.70,19.18,1572300.00,368200.00,469000.00,630700.00
2019-02-21,86.68,66.54,62.03,17.00,98.47,70.01,65.50,19.03,99.30,70.33,65.90,19.22,98.46,68.81,63.01,18.76,99.13,69.27,64.97,18.91,2140200.00,527000.00,1305100.00,886000.00
2019-02-22,86.91,66.53,60.70,16.95,98.73,70.00,64.09,18.98,99.16,70.61,65.56,19.24,98.40,69.82,63.96,18.93,98.77,70.00,64.25,19.03,1274400.00,429500.00,995000.00,372800.00
2019-02-25,87.31,66.25,61.51,16.78,99.18,69.71,64.95,18.79,99.54,70.30,65.49,19.06,98.84,69.55,64.25,18.75,99.00,70.00,64.25,19.04,1191300.00,600600.00,712700.00,697600.00
2019-02-26,89.49,68.21,61.95,16.67,101.66,71.77,65.41,18.66,101.66,73.39,65.63,18.81,99.39,70.33,64.71,18.53,99.50,71.02,64.76,18.78,2937200.00,854300.00,625300.00,613700.00
2019-02-27,90.62,67.53,62.17,16.69,102.94,71.06,65.64,18.69,103.00,71.53,65.83,18.71,101.44,70.22,65.03,18.43,101.47,71.51,65.03,18.58,1715200.00,529600.00,501100.00,561100.00
2019-02-28,90.34,68.01,62.07,16.61,102.62,71.56,65.54,18.60,103.27,71.99,66.05,18.72,102.20,70.65,65.23,18.35,102.59,70.65,65.54,18.64,1589400.00,863000.00,713500.00,1896600.00
2019-03-01,90.80,68.53,61.46,16.82,103.15,72.11,64.89,18.83,103.39,72.30,65.98,19.08,102.77,71.67,64.79,18.65,103.07,72.08,65.66,18.69,2056500.00,619000.00,482400.00,507400.00
2019-03-04,90.92,68.52,61.86,16.83,103.29,72.10,65.32,18.84,103.78,72.93,65.61,19.25,102.90,71.90,64.86,18.76,103.21,72.13,64.87,18.96,1686500.00,541300.00,435400.00,668300.00
2019-03-05,91.23,68.88,61.34,16.62,103.64,72.48,64.77,18.61,103.80,73.00,65.60,18.84,103.03,72.13,64.72,18.58,103.30,72.13,65.38,18.81,1499000.00,590200.00,490500.00,494900.00
2019-03-06,91.47,69.57,61.53,16.49,103.91,73.20,64.97,18.46,104.60,73.46,65.05,18.83,103.71,72.61,64.64,18.44,103.96,72.61,64.88,18.63,1975400.00,660800.00,468500.00,399700.00
