Date,Open,High,Low,Close,Adj Close,Volume,SMA5,SMM5,SMA20,SMM20,mfi5,mfi20,mom5,mom20,rsi5,rsi20,chaikin5,chaikin20,adl,adx5,adx20,stoch
2019-01-30,97.25,97.7300033569336,97.0999984741211,97.7300033569336,85.1501235961914,2195100,97.10000152587891,97.0500030517578,94.30000076293945,95.29499816894531,50.93598655643797,69.22588424956918,1.1200027465820312,8.170005798339844,81.93192526348,85.26905516525187,2803366.7764390744,2803366.7764390744,18724279.932072856,66.08629778126969,100.0,100.0
2019-01-31,96.25,96.63999938964844,95.75,96.18000030517578,84.66595458984375,2177800,96.9760009765625,97.0500030517578,94.67200088500977,95.93999862670898,47.63508959624869,66.96060304503553,-0.620002746582017,7.44000244140625,44.70494675187454,69.01553989484708,2738323.1318472195,2738323.1318472195,18650873.8799872,53.90995116391729,74.83942531379542,71.29624789308686
2019-02-01,95.87999725341795,96.44000244140624,95.83999633789062,95.94000244140624,84.4546890258789,1137800,96.71600189208984,96.68000030517578,94.96150093078613,96.06000137329102,36.444464649265605,63.73081221838866,-1.2999954223632812,5.7900009155273295,41.09134857204919,66.93600199747854,2221244.4085194543,2221244.4085194543,17892359.836957805,44.248994369852994,62.27566922869984,66.60446433400767
2019-02-04,96.16999816894533,96.8499984741211,96.0500030517578,96.72000122070312,85.14132690429688,2263800,96.7240020751953,96.72000122070312,95.3010009765625,96.39500045776367,65.49170695944147,70.32860749940576,0.04000091552734375,6.790000915527344,55.65386962692664,70.02580260540711,2290902.5085705277,2290902.5085705277,19420436.17139424,37.8585088294333,49.434282828410616,73.90177210797853
2019-02-05,96.7300033569336,97.25,96.61000061035156,97.25,85.60787200927734,1021500,96.76400146484374,96.72000122070312,95.62700080871582,96.64500045776367,62.51815028521563,69.67645370198692,0.1999969482422017,6.519996643066406,63.34926786286868,71.90373932100638,2433993.9453035034,2433993.9453035034,20441936.17139424,35.923377474253634,42.5639706890776,83.89252294576224
2019-02-06,97.0,97.88999938964844,97.0,97.1999969482422,85.56382751464844,1251000,96.65800018310547,96.72000122070312,95.8925006866455,96.68999862670898,57.957420478771404,68.4629315887639,-0.530006408691392,5.309997558593764,62.078838258577015,71.45911922814756,2051964.1453059874,2051964.1453059874,19753175.168771137,38.068454347740186,40.89021030322634,67.75688606529975
2019-02-07,97.3000030517578,97.48999786376952,96.5,97.13999938964844,85.51102447509766,2024900,96.85,97.13999938964844,96.12600059509278,96.70999908447266,58.966777301855416,63.053176451242535,0.9599990844726562,4.6699981689453125,60.26612401583367,70.90534840938645,1896949.7521226183,1896949.7521226183,20346330.846517183,32.795284474554265,36.5343332489055,64.95326103232155
2019-02-08,96.9499969482422,97.1500015258789,96.1500015258789,96.9499969482422,85.34378051757812,1021100,97.0519989013672,97.13999938964844,96.33550033569335,96.72500228881836,59.81109825493234,59.88141632669722,1.009994506835966,4.189994812011719,54.021735527790405,69.1197789632608,1855239.421791792,1855239.421791792,20958981.498067506,27.387427580112366,31.59962736202198,56.07463974274026
2019-02-11,97.1999969482422,97.37000274658205,96.7300033569336,96.9800033569336,85.37018585205078,1078500,97.1039993286133,97.13999938964844,96.54350051879882,96.74500274658203,52.43800294927933,58.76373576038207,0.26000213623046875,4.160003662109375,54.943331528963206,69.24851350692731,1594261.3763440363,1594261.3763440363,20723060.42661337,23.198519075316263,28.475828943829455,57.47680877309319
2019-02-12,97.16999816894533,98.06999969482422,97.1500015258789,97.81999969482422,86.10962677001953,3162300,97.21799926757814,97.13999938964844,96.75350036621094,96.78000259399414,64.44945404949038,61.03817693863756,0.5699996948242188,4.199996948242173,73.51777635851315,72.61286296271697,1801078.8012499847,1801078.8012499847,22166715.701686762,25.40420147858401,27.89807941786385,89.22413651356355
