Attributes,Close,Close,Close,Close,Volume,Volume,Volume,Volume
Symbols,BMO.TO,TRI.TO,L.TO,CIX.TO,BMO.TO,TRI.TO,L.TO,CIX.TO
Date,,,,,,,,
2019-05-22,104.07,87.38,69.91,20.22,1622900.00,808500.00,684900.00,683100.00
2019-05-23,101.86,87.03,70.00,20.30,2534200.00,461600.00,920700.00,481600.00
2019-05-24,103.60,87.16,69.96,20.62,1747900.00,514600.00,468500.00,602000.00
2019-05-27,103.52,87.24,70.38,20.67,607500.00,111900.00,529800.00,205300.00
2019-05-28,103.04,87.98,70.79,20.52,1530600.00,1006100.00,1146000.00,1072100.00
2019-05-29,100.35,85.77,69.58,20.44,2558700.00,991800.00,675300.00,412300.00
2019-05-30,99.28,85.97,69.34,20.60,1362100.00,369600.00,467500.00,492800.00
2019-05-31,98.12,85.90,69.36,20.29,2090500.00,440300.00,645500.00,493500.00
2019-06-03,98.38,85.73,69.43,20.37,1507700.00,434800.00,479300.00,341700.00
2019-06-04,99.83,85.00,69.84,20.44,1324200.00,487000.00,582200.00,651500.00
2019-06-05,99.76,87.59,70.71,20.66,1314900.00,744800.00,467800.00,831800.00
2019-06-06,99.38,87.96,70.65,21.11,986900.00,408500.00,380500.00,880600.00
2019-06-07,98.97,88.81,70.75,20.96,1201200.00,534900.00,320400.00,642200.00
2019-06-10,99.33,87.11,70.27,21.23,728400.00,889400.00,902500.00,379800.00
2019-06-11,99.60,86.91,69.95,20.98,1088800.00,516400.00,495700.00,775800.00
2019-06-12,99.04,87.95,70.30,20.88,920500.00,615300.00,559800.00,389600.00
2019-06-13,99.15,86.49,69.48,20.92,829500.00,538100.00,593100.00,277900.00
2019-06-14,99.67,87.30,69.42,21.05,1045100.00,379100.00,393500.00,472300.00
2019-06-17,99.56,87.13,70.04,21.40,807800.00,377200.00,627500.00,527800.00
2019-06-18,100.51,87.58,70.12,21.43,1118200.00,422300.00,439400.00,661700.00
2019-06-19,100.25,88.60,70.29,21.40,941400.00,412000.00,349800.00,389200.00
2019-06-20,100.43,87.80,69.59,21.44,920200.00,530600.00,323000.00,603200.00
2019-06-21,99.94,87.09,67.34,21.28,3546900.00,1445600.00,1818400.00,796700.00
2019-06-24,99.78,86.77,67.20,21.25,966700.00,352700.00,653400.00,590300.00
2019-06-25,98.91,85.19,67.00,21.15,1238600.00,539300.00,376800.00,683500.00
2019-06-26,98.52,83.64,66.61,21.20,1109000.00,671900.00,386000.00,784000.00
2019-06-27,98.43,84.15,67.04,20.99,876500.00,418700.00,383700.00,538300.00
2019-06-28,98.92,84.48,67.05,21.34,1347100.00,681000.00,468600.00,638900.00
2019-07-02,99.92,85.92,66.73,21.89,1481800.00,588400.00,496400.00,828200.00
2019-07-03,100.30,86.40,67.24,21.84,851600.00,373700.00,369200.00,505000.00
2019-07-04,100.35,86.58,67.15,21.80,400200.00,108600.00,102900.00,220100.00
2019-07-05,100.88,86.46,67.03,21.82,1521100.00,312600.00,316600.00,182400.00
2019-07-08,100.44,86.60,66.76,21.74,1410200.00,378400.00,351600.00,348300.00
2019-07-09,100.95,87.04,67.05,21.67,984000.00,377000.00,417500.00,395000.00
2019-07-10,100.23,87.05,67.31,21.57,1965300.00,406300.00,399200.00,429700.00
2019-07-11,100.37,87.27,67.59,21.37,1319100.00,611800.00,372000.00,528800.00
